#Variables:
#tasmax_CNRM-CM5_historical(K):Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_historical(K):Daily Minimum Near-Surface Air Temperature
#rhsmax_CNRM-CM5_historical(%):Surface Daily Maximum Relative Humidity
#rhsmin_CNRM-CM5_historical(%):Surface Daily Minimum Relative Humidity
#pr_CNRM-CM5_historical(mm):Precipitation
#rsds_CNRM-CM5_historical(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 44.3961 Latitude, -110.9391 Longitude (closest value to Latitude:44.405621, Longitude:-110.9203023) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_rhsmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_rhsmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_rsds_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
""
yyyy-mm-dd,tasmax_CNRM-CM5_historical(K),tasmin_CNRM-CM5_historical(K),rhsmax_CNRM-CM5_historical(%),rhsmin_CNRM-CM5_historical(%),pr_CNRM-CM5_historical(mm),rsds_CNRM-CM5_historical(Wm-2)
1950-02-23,279.167267,265.702057,67.804710,39.256329,0.000000,161.314331
1950-02-24,277.515778,272.152252,99.988564,45.586681,4.009933,135.292770
1950-02-25,277.299286,265.166504,95.961365,50.275303,1.123345,156.078964
1950-02-26,274.706879,268.404114,90.284920,19.876431,7.695354,172.176453
1950-02-27,275.605042,265.064423,99.995148,38.219952,6.180687,116.947319
1950-02-28,274.823395,262.564850,99.959114,51.413895,1.713195,116.816277
1950-03-01,275.694916,268.935455,87.771080,48.019981,3.083209,130.417435
1950-03-02,273.908020,265.051178,76.764069,36.135395,5.705035,187.655060
1950-03-03,276.054810,263.415741,72.617249,44.246063,6.336633,133.024673
1950-03-04,275.063690,259.998444,89.303009,44.882236,1.443785,183.818375
1950-03-05,274.824432,260.552063,89.593956,40.753765,6.451690,199.660507
1950-03-06,275.738068,261.681580,76.673187,41.966576,6.150946,106.696373
1950-03-07,279.964691,266.241821,75.513695,41.948208,0.734413,196.604645
1950-03-08,276.974396,270.204987,67.791748,42.521145,4.072280,115.373062
1950-03-09,276.155884,264.985626,95.615807,42.894535,2.908564,192.740463
1950-03-10,274.542542,261.764069,80.615494,42.183273,0.000000,169.216888
1950-03-11,274.926880,266.985016,65.562248,39.152424,0.803037,185.150620
1950-03-12,273.223328,259.424744,92.539917,37.217159,0.321572,196.439255
1950-03-13,275.008270,262.297546,75.334129,44.377304,2.172269,150.139648
1950-03-14,273.945312,266.018677,83.676453,45.064724,5.384362,142.662842
1950-03-15,273.036072,259.522430,90.059334,36.913620,5.151400,207.235336
1950-03-16,272.793762,258.107971,79.650032,38.437553,3.692586,172.065475
1950-03-17,272.519684,266.835175,78.104553,36.439415,3.248961,178.492126
1950-03-18,274.094543,262.152496,80.057320,40.710457,1.568361,206.239990
1950-03-19,273.469940,267.633484,80.252495,40.817268,3.430551,164.643875
1950-03-20,271.372101,258.096252,77.342300,38.463730,2.012487,227.962799
1950-03-21,271.219116,259.427551,77.778084,44.580566,7.988037,135.304657
1950-03-22,271.553253,264.690857,71.729866,31.830214,5.286443,220.772491
1950-03-23,270.685883,258.663544,77.001022,38.170559,4.541414,236.399200
1950-03-24,274.319489,261.652222,84.137924,42.745441,0.000000,205.356735
1950-03-25,274.594910,259.915009,95.097374,36.690430,0.000000,225.330307
1950-03-26,273.700562,258.661163,78.978462,35.443356,1.070397,210.768494
1950-03-27,273.532776,263.561401,99.957970,37.631641,0.000000,236.259048
1950-03-28,275.713898,264.614349,70.193420,43.028233,6.468368,164.673309
1950-03-29,273.063782,263.861847,99.992996,39.092251,23.609592,173.600723
1950-03-30,273.332031,262.936096,85.593254,33.931126,3.719624,204.900055
1950-03-31,271.019104,255.172806,75.491066,22.541042,0.000000,277.282349
1950-04-01,271.292114,254.030518,70.169220,22.824038,0.000000,275.954590
1950-04-02,273.579102,256.168671,60.294277,24.601990,0.000000,244.383591
1950-04-03,275.254242,260.979950,71.131676,36.694115,0.817450,219.817108
1950-04-04,278.653534,265.602753,99.006378,43.148293,0.895438,245.096725
1950-04-05,278.796906,263.755188,93.643074,32.211674,0.000000,270.436005
1950-04-06,278.031158,262.660461,82.175362,30.221357,0.000000,272.988953
1950-04-07,279.575165,262.526276,85.452644,31.906864,0.000000,287.736359
1950-04-08,280.248474,264.963623,78.286415,32.213379,0.000000,284.421051
1950-04-09,281.374268,264.605927,70.914726,21.228580,0.000000,291.712311
1950-04-10,281.110443,263.984802,66.623566,21.208725,0.491134,295.569092
1950-04-11,281.591644,265.667236,53.659897,29.461403,5.192389,224.192551
1950-04-12,276.085846,268.859589,99.958344,50.112511,16.284956,183.477890
1950-04-13,275.736115,264.713501,89.234665,30.775734,5.515953,262.422089
1950-04-14,272.437469,263.678406,89.949852,38.592560,2.742383,219.128876
1950-04-15,271.768433,268.140564,72.193100,41.400681,1.378777,235.158630
1950-04-16,275.134125,259.144104,94.772514,32.667187,0.000000,304.952667
1950-04-17,276.929382,261.600128,77.272400,35.659534,0.000000,303.046814
1950-04-18,278.117859,264.075256,99.184769,35.505413,0.000000,298.406708
1950-04-19,279.474640,263.897949,91.313202,32.526333,0.390920,302.142609
1950-04-20,281.380035,265.191498,70.577019,30.437908,0.000000,302.172363
1950-04-21,280.787720,272.995148,76.461090,38.798676,16.562624,227.281265
1950-04-22,276.409271,266.078735,99.976700,45.768810,8.469442,197.396347
1950-04-23,276.910248,260.913635,91.395012,36.695282,0.807285,324.971405
1950-04-24,283.625885,271.566528,51.398071,25.307739,2.442591,260.526001
1950-04-25,280.750549,271.015839,54.419979,34.211811,11.509267,202.532669
1950-04-26,278.075562,267.085480,99.948135,30.387587,4.662860,265.761536
1950-04-27,279.037659,262.935791,76.230171,25.448191,5.893672,304.846161
1950-04-28,276.285339,264.387848,77.468979,32.428528,1.686198,215.684204
1950-04-29,276.512238,263.685486,75.319077,25.468348,0.521880,332.627350
1950-04-30,278.429138,263.808502,67.510834,30.430748,2.965060,240.020218
1950-05-01,273.935333,265.973602,99.998154,72.356674,8.652505,159.708862
1950-05-02,277.796082,274.199188,99.995941,43.145885,4.729958,250.440720
1950-05-03,281.974518,270.195404,76.457184,45.748863,6.539702,260.667572
1950-05-04,281.019135,269.544373,99.992622,55.807571,18.296425,169.014343
1950-05-05,272.811035,265.637360,83.257507,34.294304,0.000000,318.609985
1950-05-06,275.701813,263.722321,65.744881,36.165512,0.763494,312.377777
1950-05-07,276.151642,264.199158,89.854683,34.840466,0.440711,301.216766
1950-05-08,276.837555,266.186432,73.519524,31.544184,0.697077,341.497986
1950-05-09,277.807404,265.963928,63.093742,30.658102,10.065090,312.620605
1950-05-10,275.082428,266.090057,65.010414,31.273373,2.577645,308.042267
1950-05-11,277.293518,263.728210,64.331451,33.721252,3.092031,342.256989
1950-05-12,276.114471,272.323975,99.989494,37.233368,8.100987,266.177917
1950-05-13,272.984802,271.600250,99.973450,35.911491,7.427760,264.638611
1950-05-14,272.329742,263.769073,73.287331,31.142134,1.299707,331.591522
1950-05-15,272.865631,262.451569,72.352798,32.577106,1.517120,310.813416
1950-05-16,276.259552,262.404633,89.340286,30.598711,0.000000,365.392914
1950-05-17,278.859558,267.349182,49.163883,30.123543,0.000000,353.795593
1950-05-18,279.445465,264.781708,76.051849,26.444311,0.000000,368.258606
1950-05-19,281.831512,265.079956,45.466599,27.944649,0.000000,375.061829
1950-05-20,285.638214,266.712891,60.378899,27.356058,0.000000,371.349945
1950-05-21,289.970001,267.615784,42.713749,25.491390,0.000000,372.740387
1950-05-22,288.217682,269.554840,70.326881,33.494831,1.178962,305.808960
1950-05-23,280.462219,274.317749,99.987526,50.352497,10.925555,224.379150
1950-05-24,279.828613,271.444733,99.985123,42.541634,6.068040,314.334473
1950-05-25,279.620941,269.668549,94.271080,35.188995,0.878839,320.435608
1950-05-26,281.331818,266.899933,58.854168,31.864050,1.961791,320.395325
1950-05-27,283.055450,269.141174,74.858597,32.879196,4.504018,338.768768
1950-05-28,281.675232,271.086517,92.349846,35.397392,10.032335,296.737732
1950-05-29,282.673035,269.254364,71.956177,30.228464,5.357885,350.272919
1950-05-30,285.908417,269.254181,55.114372,27.812298,4.269592,349.297241
1950-05-31,283.067780,267.145416,49.588409,29.364128,2.046380,343.064819
1950-06-01,279.691101,267.096100,51.305767,33.215065,6.731259,303.032898
1950-06-02,278.182465,267.777924,89.817467,37.910549,6.274595,298.400818
1950-06-03,279.115631,265.550049,69.278534,35.398918,0.658051,336.862885
1950-06-04,282.408813,265.613861,58.976994,32.230171,0.000000,366.436310
1950-06-05,286.204956,267.772858,54.781380,31.133869,0.350315,363.840668
1950-06-06,288.893829,269.900879,62.856449,34.572002,0.000000,368.666443
1950-06-07,290.279297,270.453003,64.712212,30.945646,0.000000,359.749481
1950-06-08,291.064240,272.151733,48.894085,26.275846,0.000000,365.676300
1950-06-09,291.009094,273.709869,42.816833,29.061462,0.000000,335.307800
1950-06-10,286.687592,276.887268,69.725983,39.951187,1.323266,267.100159
1950-06-11,284.015350,275.562836,99.972954,51.959206,9.590770,224.396469
1950-06-12,283.544800,272.952820,99.996437,42.735577,12.386073,258.393188
1950-06-13,288.133972,273.871826,80.052979,30.443481,2.972333,311.502930
1950-06-14,287.654358,272.737671,51.221031,29.758308,14.711368,302.215240
1950-06-15,284.034821,272.282990,90.548546,39.914402,4.938648,313.077728
1950-06-16,283.791107,271.178986,70.586456,38.918171,0.000000,283.505615
1950-06-17,283.497955,270.578217,97.887039,33.404385,2.420616,331.221252
1950-06-18,285.148682,272.180237,50.196426,33.812668,5.640815,292.090576
1950-06-19,282.586700,277.218048,72.220322,46.100418,10.343437,178.588058
1950-06-20,278.596161,270.724426,99.986153,59.043335,13.256069,134.468384
1950-06-21,277.634064,270.226074,99.978172,61.398445,33.887573,158.321945
1950-06-22,277.617310,270.739807,99.980881,55.031139,5.945665,222.420639
1950-06-23,281.027496,267.083588,84.855797,50.009323,0.000000,331.114532
1950-06-24,284.793121,268.536591,89.740746,41.906818,2.089526,337.934143
1950-06-25,284.151917,268.995178,68.164070,41.899830,0.542652,300.791077
1950-06-26,285.353638,270.422760,85.556541,39.706978,1.297735,328.172180
1950-06-27,288.059998,270.626526,66.343224,33.582520,0.735983,335.090332
1950-06-28,292.199493,273.382172,62.347301,30.926430,0.482656,320.509033
1950-06-29,292.434875,277.184082,54.751392,30.435581,0.369836,334.081329
1950-06-30,284.349182,271.671234,66.570930,34.733536,13.510767,294.240875
1950-07-01,283.479736,273.415039,99.947487,40.745415,0.000000,329.241882
1950-07-02,290.982697,270.912384,68.713943,26.801552,0.000000,340.164978
1950-07-03,294.780304,276.217133,42.437084,23.886042,0.000000,335.110962
1950-07-04,294.522156,278.861633,37.791000,20.315781,0.000000,335.266937
1950-07-05,293.900330,278.425659,35.628799,23.028999,0.000000,329.345764
1950-07-06,291.390106,280.959930,51.128227,31.388962,1.783428,316.847473
1950-07-07,284.217407,272.551300,90.586998,38.306026,0.000000,323.890747
1950-07-08,290.727722,272.072693,69.391151,29.951624,0.000000,336.812714
1950-07-09,293.871643,277.209991,54.878551,31.316631,0.000000,326.658417
1950-07-10,293.535797,277.554199,74.553642,31.073460,0.000000,315.220154
1950-07-11,294.286591,279.112152,87.406448,33.119419,0.537844,301.402802
1950-07-12,294.692474,281.340668,96.986153,31.529716,0.544016,313.169037
1950-07-13,297.082703,280.842133,66.722229,25.712610,0.000000,324.449677
1950-07-14,296.669891,279.766357,41.560028,19.053480,0.000000,332.458862
1950-07-15,292.576202,277.400604,59.384983,21.191324,0.405582,300.199158
1950-07-16,289.586975,273.045532,65.044540,27.797504,0.000000,335.282806
1950-07-17,291.763123,274.171814,58.365925,28.289207,0.426453,333.606293
1950-07-18,291.245331,277.649170,63.173016,31.658466,0.949492,275.307526
1950-07-19,290.667511,278.037598,65.892204,34.119789,1.215380,281.421387
1950-07-20,290.636261,276.524200,84.067307,31.911724,2.604499,290.958954
1950-07-21,292.399384,275.997314,78.381721,30.878315,0.762439,325.568146
1950-07-22,294.524750,278.650146,64.568054,28.824987,0.755891,305.603271
1950-07-23,295.687500,280.420319,58.654938,28.129328,1.469892,288.777008
1950-07-24,294.344574,280.752930,57.248726,27.523739,3.088837,301.816498
1950-07-25,295.229523,279.726410,71.563972,27.645924,5.392196,319.831085
1950-07-26,296.990875,281.474609,68.710838,24.939331,1.817458,306.776581
1950-07-27,298.112366,282.057220,58.281853,24.075621,0.000000,313.190216
1950-07-28,298.390686,282.568695,56.657444,23.887508,0.916904,311.295044
1950-07-29,297.391205,282.105438,56.976097,25.080048,0.000000,322.027557
1950-07-30,296.399597,281.119110,70.394836,27.711721,0.000000,312.059509
1950-07-31,294.254608,282.255096,69.939468,32.301014,3.412174,253.568665
1950-08-01,294.661652,281.083527,99.995445,33.733353,0.000000,289.006836
1950-08-02,296.983002,281.934082,83.903091,28.475613,0.000000,274.575623
1950-08-03,298.043304,282.032745,50.014050,24.051733,0.506324,315.710938
1950-08-04,296.802216,281.851868,63.700840,25.443113,0.548988,275.443298
1950-08-05,296.033966,281.691681,67.442787,27.104040,0.000000,297.546539
1950-08-06,296.643799,281.579651,52.392822,22.465349,0.000000,257.223846
1950-08-07,294.081116,279.703888,73.385452,28.056894,4.467270,264.882050
1950-08-08,292.781036,279.651672,67.842979,28.401724,2.072241,269.256927
1950-08-09,294.510254,279.308411,82.886574,27.113832,0.000000,270.770233
1950-08-10,295.741333,281.444427,77.786705,27.836273,0.000000,264.209167
1950-08-11,294.334991,280.280334,79.104134,28.542198,1.361705,256.478607
1950-08-12,294.471619,279.254395,70.633530,24.636387,0.000000,269.511169
1950-08-13,295.398865,278.462433,67.227364,23.840334,0.000000,286.441162
1950-08-14,292.841095,283.093201,59.218452,28.095100,9.547838,219.087952
1950-08-15,290.566559,279.846985,99.994713,44.569782,17.752789,184.402328
1950-08-16,284.337952,275.265411,99.450264,42.831779,6.914276,190.788147
1950-08-17,281.812012,275.930634,99.993752,43.104038,2.868775,231.350403
1950-08-18,282.944824,271.863586,99.999405,36.689182,0.000000,239.994003
1950-08-19,288.946442,274.177368,69.557678,32.088432,0.000000,266.047791
1950-08-20,286.951111,275.404480,72.498276,34.312130,1.590788,233.747421
1950-08-21,288.001312,273.461304,79.273987,35.780636,1.498069,242.562164
1950-08-22,292.732239,276.377655,63.046146,26.418983,0.316380,264.483185
1950-08-23,293.883698,277.807098,45.609097,24.051741,0.343576,274.196411
1950-08-24,291.566711,278.564911,41.842098,23.466381,0.930558,281.578064
1950-08-25,289.937073,273.626404,73.373161,26.033182,0.000000,263.436066
1950-08-26,290.813110,273.926727,69.684052,25.446268,0.000000,272.680695
1950-08-27,289.394958,273.202515,57.608391,23.175503,0.000000,271.311249
1950-08-28,290.439178,273.227844,59.505947,23.798861,0.000000,274.311646
1950-08-29,295.643188,277.016388,45.144768,19.082346,0.000000,261.582001
1950-08-30,294.335846,279.876129,41.911850,18.862230,0.000000,250.081451
1950-08-31,292.069458,277.873840,81.537758,26.108698,2.537274,227.015457
1950-09-01,287.515533,275.058624,83.372383,31.652060,2.208571,211.235870
1950-09-02,287.975525,274.650452,71.336624,31.154018,0.000000,211.881058
1950-09-03,285.256378,274.658508,85.775040,33.621136,0.689981,216.832230
1950-09-04,286.006897,273.065948,94.150856,30.405012,1.327939,244.341461
1950-09-05,292.200104,273.239044,65.035919,26.131987,0.000000,252.224030
1950-09-06,293.253265,278.651367,52.293991,25.357557,0.000000,201.942139
1950-09-07,293.180847,278.876617,68.962212,29.209305,0.000000,200.448700
1950-09-08,292.420471,278.975098,75.932190,33.218449,0.000000,216.401978
1950-09-09,292.838470,279.986023,93.281273,32.126675,0.684356,211.980286
1950-09-10,292.933105,277.602203,75.901863,23.032204,0.000000,236.556946
1950-09-11,291.039612,278.462524,44.964550,24.728735,4.821423,214.691467
1950-09-12,288.566528,277.405304,47.468204,21.493742,0.820345,230.706039
1950-09-13,286.990753,275.416595,40.678024,21.933126,0.684838,174.102768
1950-09-14,282.565491,270.302338,80.333282,31.162996,0.396985,185.982910
1950-09-15,281.871460,271.329529,95.034378,33.337681,0.290859,163.566895
1950-09-16,284.534943,271.897949,96.094658,41.360291,0.000000,195.113342
1950-09-17,286.981445,272.464478,99.995384,26.959499,2.258933,207.527817
1950-09-18,291.088165,270.603760,51.599506,19.588839,0.000000,223.050873
1950-09-19,287.726837,273.992401,61.421955,20.366470,0.556692,177.316315
1950-09-20,285.568054,271.742554,92.185349,31.516573,0.858361,186.150665
1950-09-21,287.456482,273.437134,86.125038,34.894817,0.000000,176.147324
1950-09-22,283.940674,275.508209,96.004539,43.052036,0.576244,156.800354
1950-09-23,290.317291,275.668274,95.579529,29.198801,0.000000,201.791946
1950-09-24,288.841705,275.557465,81.253654,29.714106,0.000000,170.141922
1950-09-25,290.141418,277.115082,76.578476,25.207432,2.136970,191.014404
1950-09-26,287.285400,272.374023,54.105717,22.953669,1.625632,172.714005
1950-09-27,282.551270,273.792786,96.915077,35.177311,8.998821,132.763596
1950-09-28,286.073181,271.725189,99.961189,29.445475,0.000000,186.445206
1950-09-29,289.955261,272.178558,54.847473,19.187263,0.000000,197.811081
1950-09-30,287.651794,278.952118,34.589867,19.199724,0.000000,145.895767
1950-10-01,283.632416,273.209930,66.241646,27.281647,2.117209,151.354507
1950-10-02,281.121185,269.920654,99.900917,31.190895,0.000000,174.343063
1950-10-03,287.553741,269.628754,67.400368,23.701607,0.000000,173.438812
1950-10-04,286.386017,275.498413,51.112640,29.375584,0.000000,172.714188
1950-10-05,286.117310,271.633087,64.867119,25.964476,0.000000,181.043701
1950-10-06,282.312683,273.924866,54.924404,31.780056,1.363727,126.008095
1950-10-07,277.159058,268.432404,63.780235,40.150818,3.089734,132.389374
1950-10-08,279.804962,269.191345,99.113602,44.420422,0.686897,171.449219
1950-10-09,285.583344,269.818604,76.218552,26.159306,0.000000,186.076157
1950-10-10,284.689453,274.522308,59.711384,27.360720,0.000000,159.891891
1950-10-11,279.911377,271.540955,78.831360,22.031174,0.000000,159.360184
1950-10-12,274.786652,261.591156,53.622326,20.100203,0.000000,179.070755
1950-10-13,279.699402,263.065186,48.163635,18.135616,0.000000,149.234482
1950-10-14,284.286194,270.046173,39.579399,20.983612,0.000000,159.599731
1950-10-15,286.391449,270.515869,34.444233,17.277479,0.000000,163.519928
1950-10-16,281.499359,271.064148,33.257942,21.337608,0.723168,150.198700
1950-10-17,283.460876,268.362976,65.851303,21.246981,0.000000,158.755203
1950-10-18,283.978180,269.138855,40.776974,19.033173,0.000000,156.788208
1950-10-19,279.897705,268.781555,71.394196,24.254108,0.000000,153.167252
1950-10-20,280.025970,266.134277,65.038826,21.749723,0.568514,152.283295
1950-10-21,281.310669,267.185669,36.949772,21.096794,0.733520,151.073975
1950-10-22,284.023010,270.387573,43.958164,20.875961,0.000000,152.603226
1950-10-23,283.735992,269.697937,41.437218,20.625687,0.572049,142.323853
1950-10-24,278.912079,271.820953,77.489471,33.630051,20.476547,70.972046
1950-10-25,275.102417,269.967804,99.193413,31.271347,4.246379,146.023560
1950-10-26,278.116119,267.457764,76.102272,41.241405,0.290636,107.129601
1950-10-27,281.070526,269.528961,99.896240,46.833084,0.000000,135.610046
1950-10-28,276.503937,272.635864,88.778809,37.118896,0.584963,81.554787
1950-10-29,272.430450,258.996185,63.063484,22.735373,0.726615,134.445221
1950-10-30,276.642670,262.384979,52.625393,24.299419,0.000000,133.740799
1950-10-31,274.752289,262.324402,63.961094,31.398083,1.914461,115.446152
1950-11-01,270.610718,261.744049,81.285011,28.898010,1.443625,131.244446
1950-11-02,273.166656,258.406677,64.092796,19.187038,0.000000,129.793625
1950-11-03,275.950104,260.991241,43.824909,19.538202,0.000000,124.365738
1950-11-04,277.717468,261.738586,54.008331,20.593742,0.000000,127.526978
1950-11-05,277.298492,262.094910,56.877625,20.293474,0.000000,123.907288
1950-11-06,275.105164,261.195648,55.140621,20.832798,0.000000,120.509895
1950-11-07,275.671753,261.850525,65.101799,27.346926,0.000000,117.919662
1950-11-08,276.101868,262.888977,63.179832,27.885727,1.899189,119.497765
1950-11-09,276.146393,265.155975,69.763260,38.147987,0.697262,102.436462
1950-11-10,274.755707,268.016907,78.407990,54.557529,1.333172,86.572426
1950-11-11,272.603516,268.530487,98.089951,54.704624,2.839715,85.663536
1950-11-12,272.507843,269.434845,82.029472,56.696392,5.498095,72.191154
1950-11-13,272.021027,269.072754,96.711517,52.353378,35.556561,67.595016
1950-11-14,274.798981,266.304138,99.999687,56.800800,29.684055,61.546898
1950-11-15,272.911133,267.772461,99.999725,46.562908,12.423458,103.255745
1950-11-16,273.073975,266.212646,99.999512,61.519596,16.853121,79.830536
1950-11-17,270.916168,267.469788,99.999161,66.999481,22.437042,63.268040
1950-11-18,274.079102,264.827087,94.171516,65.271408,11.722254,75.441704
1950-11-19,273.583282,269.597351,99.978661,58.568176,12.702416,74.280128
1950-11-20,269.083679,259.257050,99.999245,51.487484,7.987869,85.908165
1950-11-21,270.808105,265.245087,89.966248,54.694744,4.685784,72.614098
1950-11-22,269.319641,257.877045,95.532654,52.034702,3.985492,88.445747
1950-11-23,269.729004,264.910767,99.391129,49.352997,1.916360,88.096664
1950-11-24,269.891571,257.204803,93.700340,51.315193,0.000000,90.527870
1950-11-25,271.850586,258.884949,74.709648,44.339275,0.000000,97.421272
1950-11-26,270.678253,258.283997,75.813446,42.206844,1.710419,71.402557
1950-11-27,273.506683,268.631409,93.810860,59.643635,2.798359,74.186440
1950-11-28,273.724792,263.770081,96.411293,70.019814,20.606567,59.707867
1950-11-29,273.174408,265.431610,99.999985,75.666107,25.328533,50.968628
1950-11-30,273.337067,264.728577,99.998924,73.831566,6.712546,61.584232
1950-12-01,265.549377,258.794037,77.980568,56.288406,3.913801,85.748886
1950-12-02,268.828339,257.513550,79.070412,47.009422,6.511209,77.249741
